H2+C2H2NO,CHN+CH3O,H+C2H3NO,H2O+C2H2N,iter
7.6,45.7,45.3,1.4,1
7.3,48,43.8,0.9,2
5.1,58.9,34.8,1.2,3
4.7,55,38.8,1.5,4
3.5,56.8,38,1.6,5
5.4,54.5,38,2,6
11.6,51.6,35.2,1.5,7
12.1,49.7,36.3,1.9,8
13.9,45.2,39.4,1.5,9
11.8,47.4,39.8,1,10
12.3,51.2,34.5,2,11
9.6,49.9,38.9,1.6,12
10.7,51.7,35.3,2,13
11.6,53.3,33.4,1.6,14
10.4,47.3,40.5,1.2,15
10.3,50.1,37.6,1.9,16
11.5,50.9,35.8,1.7,17
11.2,47.4,39.8,1.4,18
10,51.7,37,1.3,19
12.3,49.4,37.1,1,20
12,53.2,33.3,1.1,21
12.6,51.6,33.9,1.4,22
10.3,50.7,37.1,1.7,23
11,49.4,38,1.3,24
12.4,49.6,36.1,1.6,25
13,47,38.6,1.1,26
13.4,49.6,35.4,1.5,27
11.9,49,37.5,1.4,28
11.6,49.9,37.2,0.8,29
10.9,50.5,36.6,1.8,30
