ene,rad,back
0.00 ,0.0000e+00 ,0.0000e+00
1.00 ,0.0000e+00 ,-1.0000e+00
2.00 ,0.0000e+00 ,-1.0000e+00
3.00 ,0.0000e+00 ,-1.0000e+00
4.00 ,2.8316e+00 ,0.0000e+00
5.00 ,2.4753e+00 ,0.0000e+00
6.00 ,6.2680e+00 ,0.0000e+00
7.00 ,0.0000e+00 ,-1.0000e+00
8.00 ,6.2531e+00 ,0.0000e+00
9.00 ,5.1081e+00 ,0.0000e+00
10.00 ,6.1840e+00 ,0.0000e+00
11.00 ,1.3905e+01 ,0.0000e+00
12.00 ,1.2181e+01 ,0.0000e+00
13.00 ,1.0494e+01 ,0.0000e+00
14.00 ,1.4133e+01 ,0.0000e+00
15.00 ,1.4501e+01 ,0.0000e+00
16.00 ,1.7257e+01 ,0.0000e+00
17.00 ,1.8013e+01 ,0.0000e+00
18.00 ,1.8033e+01 ,0.0000e+00
19.00 ,2.0089e+01 ,0.0000e+00
20.00 ,2.1473e+01 ,0.0000e+00
21.00 ,2.2914e+01 ,0.0000e+00
22.00 ,2.4393e+01 ,0.0000e+00
23.00 ,2.5278e+01 ,0.0000e+00
24.00 ,2.6763e+01 ,0.0000e+00
25.00 ,2.8405e+01 ,0.0000e+00
26.00 ,2.9942e+01 ,0.0000e+00
27.00 ,3.0591e+01 ,0.0000e+00
28.00 ,3.2569e+01 ,0.0000e+00
29.00 ,3.4110e+01 ,0.0000e+00
30.00 ,3.5371e+01 ,0.0000e+00
31.00 ,3.6710e+01 ,0.0000e+00
32.00 ,3.8147e+01 ,0.0000e+00
33.00 ,3.9646e+01 ,0.0000e+00
34.00 ,4.0938e+01 ,0.0000e+00
35.00 ,4.2409e+01 ,0.0000e+00
36.00 ,4.3885e+01 ,0.0000e+00
37.00 ,4.5240e+01 ,0.0000e+00
38.00 ,4.6634e+01 ,0.0000e+00
39.00 ,4.8141e+01 ,0.0000e+00
40.00 ,4.9625e+01 ,0.0000e+00
41.00 ,5.1038e+01 ,0.0000e+00
42.00 ,5.2473e+01 ,0.0000e+00
43.00 ,5.3983e+01 ,0.0000e+00
44.00 ,5.5461e+01 ,0.0000e+00
45.00 ,5.6936e+01 ,0.0000e+00
46.00 ,5.8397e+01 ,0.0000e+00
47.00 ,5.9928e+01 ,0.0000e+00
48.00 ,6.1436e+01 ,0.0000e+00
49.00 ,6.2884e+01 ,0.0000e+00
50.00 ,6.4374e+01 ,0.0000e+00
51.00 ,6.5907e+01 ,0.0000e+00
52.00 ,6.7423e+01 ,0.0000e+00
53.00 ,6.8917e+01 ,0.0000e+00
54.00 ,7.0426e+01 ,0.0000e+00
55.00 ,7.1966e+01 ,0.0000e+00
56.00 ,7.3488e+01 ,0.0000e+00
57.00 ,7.4996e+01 ,0.0000e+00
58.00 ,7.6533e+01 ,0.0000e+00
59.00 ,7.8071e+01 ,0.0000e+00
60.00 ,7.9598e+01 ,0.0000e+00
61.00 ,8.1121e+01 ,0.0000e+00
62.00 ,8.2663e+01 ,0.0000e+00
63.00 ,8.4206e+01 ,0.0000e+00
64.00 ,8.5746e+01 ,0.0000e+00
65.00 ,8.7279e+01 ,0.0000e+00
66.00 ,8.8828e+01 ,0.0000e+00
67.00 ,9.0380e+01 ,0.0000e+00
68.00 ,9.1923e+01 ,0.0000e+00
69.00 ,9.3468e+01 ,0.0000e+00
70.00 ,9.5028e+01 ,0.0000e+00
71.00 ,9.6581e+01 ,0.0000e+00
72.00 ,9.8136e+01 ,0.0000e+00
73.00 ,9.9688e+01 ,0.0000e+00
74.00 ,1.0125e+02 ,0.0000e+00
75.00 ,1.0281e+02 ,0.0000e+00
76.00 ,1.0437e+02 ,0.0000e+00
77.00 ,1.0593e+02 ,0.0000e+00
78.00 ,1.0750e+02 ,0.0000e+00
79.00 ,1.0907e+02 ,0.0000e+00
80.00 ,1.1063e+02 ,2.8925e+04
81.00 ,1.1220e+02 ,3.6786e+05
82.00 ,1.1377e+02 ,1.8245e+06
83.00 ,1.1534e+02 ,6.1573e+06
84.00 ,1.1691e+02 ,1.6817e+07
85.00 ,1.1848e+02 ,3.9883e+07
86.00 ,1.2006e+02 ,8.4718e+07
87.00 ,1.2164e+02 ,1.6619e+08
88.00 ,1.2321e+02 ,3.0498e+08
89.00 ,1.2479e+02 ,5.2997e+08
90.00 ,1.2637e+02 ,8.8231e+08
