X,ch2o,ch2,ch2oh,parent,ch3,hco
0,0,0,0,1,0,0
0.22581,0,0,0,1,0,0
0.45161,0,0,0,1,0,0
0.67742,0,0,0,1,0,0
0.90323,0,0,0,1,0,0
1.12903,0,0,0,1,0,0
1.35484,0,0,0,1,0,0
1.58065,0,0,0.9943,0.0057,0,0
1.80645,0.04196,0,0.95796,0.00008,0,0
2.03226,0.08,0,0.91986,0.00014,0,0
2.25806,0.128,0,0.87194,0.00006,0,0
2.48387,0.14586,0,0.85396,0.00018,0,0
2.70968,0.162,0,0.83794,0.00006,0,0
2.93548,0.174,0,0.826,0,0,0
3.16129,0.28106,0,0.67992,0.00008,0,0.03894
3.3871,0.23688,0,0.684,0,0,0.07912
3.6129,0.2425,0,0.642,0.00002,0,0.11548
3.83871,0.21916,0,0.64596,0.00004,0,0.13484
4.06452,0.11478,0,0.59,0,0,0.29522
4.29032,0.08462,0,0.57598,0.00002,0,0.33938
4.51613,0.06242,0,0.65,0,0.004,0.28358
4.74194,0.0542,0.006,0.602,0,0.008,0.3298
4.96774,0.03232,0.01,0.664,0,0.012,0.28168
5.19355,0.01648,0.006,0.784,0,0.016,0.17752
5.41935,0.01731,0.02401,0.19916,0.00003,0.01001,0.74948
5.64516,0.01317,0.01401,0.21213,0,0.018,0.7427
5.87097,0.06054,0.012,0.05679,0,0.02601,0.84466
6.09677,0.10257,0.02001,0.05187,0,0.01599,0.80956
6.32258,0.17878,0.02199,0.03636,0,0.02799,0.73488
6.54839,0.2978,0.02,0.02324,0,0.03399,0.62498
6.77419,0.42971,0.02199,0.02187,0,0.03399,0.49244
7,0.47501,0.03,0.01566,0,0.03201,0.44732
